sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	targetNote	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceSource	referenceDoi	referenceCitation
EOL:328617	Eumetopias jubatus	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	stomach sample	GEONAMES:5846640	Glacier Bay, Alaska			1958	Fiscus C. H. and Baines G. A. (1966). Food and feeding behavior of Steller and California sea lions.Journal of mammalogy 195-200.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328617	Eumetopias jubatus	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	stomach sample	GEONAMES:5879148	Aleutian Islands, Alaska			1958	Mathisen O. A. Baade R. T. & Lopp R. J. (1962). Breeding habits growth and stomach contents of the Steller sea lion in Alaska. Journal of Mammalogy 43(4) 469-477.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5795387	Puget Sound (Gertrude island), Washington			1979	Everitt R. D. Gearin P. J. Skidmore J. S. and DeLong R. L. (1981). Prey items of harbor seals and California sea lions in Puget Sound Washington. The Murrelet 83-86.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5795387	Puget Sound (Gertrude island), Washington			1979	Everitt R. D. Gearin P. J. Skidmore J. S. and DeLong R. L. (1981). Prey items of harbor seals and California sea lions in Puget Sound Washington. The Murrelet 83-86.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328615	Zalophus californianus	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample (1 spew)	GEONAMES:5807483	Protection island, Washington			1979	Everitt R. D. Gearin P. J. Skidmore J. S. and DeLong R. L. (1981). Prey items of harbor seals and California sea lions in Puget Sound Washington. The Murrelet 83-86.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5756779	Tillamook Bay, Oregon			1981	National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington Oregon and California. U.S. Dep. Commer. NOAA Tech. Memo. NMFS-NWFSC-28 172 p. Data: Beach R. J. A. C. Geiger S. J. Jeffries S. D. Treacy and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters 1980­1982. NMFS-AFSC Processed Rep. 85­04 316 p. Alaska Fisheries Science Center Natl. Mar. Fish. Serv. NOAA 7600 Sand Point Way NE Seattle WA 98115.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5720196	Columbia river, Oregon			1981	Beach R. J. A. C. Geiger S. J. Jeffries S. D. Treacy and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters 1980­1982. NMFS-AFSC Processed Rep. 85­04 316 p. Alaska Fisheries Science Center Natl. Mar. Fish. Serv. NOAA 7600 Sand Point Way NE Seattle WA 98115.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5720196	Columbia river, Oregon			1981	Beach R. J. A. C. Geiger S. J. Jeffries S. D. Treacy and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters 1980­1982. NMFS-AFSC Processed Rep. 85­04 316 p. Alaska Fisheries Science Center Natl. Mar. Fish. Serv. NOAA 7600 Sand Point Way NE Seattle WA 98115.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5815135	Grays Harbor, Washington			1981	Beach R. J. A. C. Geiger S. J. Jeffries S. D. Treacy and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters 1980­1982. NMFS-AFSC Processed Rep. 85­04 316 p. Alaska Fisheries Science Center Natl. Mar. Fish. Serv. NOAA 7600 Sand Point Way NE Seattle WA 98115.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5815135	Grays Harbor, Washington			1981	Beach R. J. A. C. Geiger S. J. Jeffries S. D. Treacy and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters 1980­1982. NMFS-AFSC Processed Rep. 85­04 316 p. Alaska Fisheries Science Center Natl. Mar. Fish. Serv. NOAA 7600 Sand Point Way NE Seattle WA 98115.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5815135	Grays Harbor, Washington			1981	Beach R. J. A. C. Geiger S. J. Jeffries S. D. Treacy and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters 1980­1982. NMFS-AFSC Processed Rep. 85­04 316 p. Alaska Fisheries Science Center Natl. Mar. Fish. Serv. NOAA 7600 Sand Point Way NE Seattle WA 98115.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5756779	Tillamook bay, Oregon			1981	Beach R. J. A. C. Geiger S. J. Jeffries S. D. Treacy and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters 1980­1982. NMFS-AFSC Processed Rep. 85­04 316 p. Alaska Fisheries Science Center Natl. Mar. Fish. Serv. NOAA 7600 Sand Point Way NE Seattle WA 98115.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5744337	North coast (Tillamook Bay), Oregon			1981	National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington Oregon and California. U.S. Dep. Commer. NOAA Tech. Memo. NMFS-NWFSC-28 172 p. DATA: Riemer S. D. and R. F. Brown. 1996. Marine mammal (pinniped) food habits in Oregon. Oregon Dep. Fish Wildl. Wildlife Diversity Program Technical Report #96­6­01 26 p. (Available from Oregon Department of Fish and Wildlife P.O. Box 59 Portland OR 97207.)	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328615	Zalophus californianus	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5815135	Puget Sound (Everett), Washington			1986	National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington Oregon and California. U.S. Dep. Commer. NOAA Tech. Memo. NMFS-NWFSC-28 172 p. DATA: Gearin P. R. DeLong and B. Ebberts. 1988a. Pinniped interactions with tribal steelhead and coho fisheries in Puget Sound. Unpubl. manuscr. 23 p. (Available from Alaska Fisheries Science Center Natl. Mar. Fish. Serv NOAA 7600 Sand Point Way NE Seattle WA 98115.)	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5744337	Central coast (Coos Bay), Oregon			1986	National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington Oregon and California. U.S. Dep. Commer. NOAA Tech. Memo. NMFS-NWFSC-28 172 p. DATA: Riemer S. D. and R. F. Brown. 1996. Marine mammal (pinniped) food habits in Oregon. Oregon Dep. Fish Wildl. Wildlife Diversity Program Technical Report #96­6­01 26 p. (Available from Oregon Department of Fish and Wildlife P.O. Box 59 Portland OR 97207.)	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328615	Zalophus californianus	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample 	GEONAMES:5807517	Puget Sound, Washington			1986	Gearin P. Pfeifer B. and Jeffries S. (1986). Control of California sea lion predation of winter-run steelhead at the Hiram M. Chittenden Locks Seattle December 1985-April 1986 with feeding events on sea lion abundance and distribution in Puget Sound.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328534	Orcinus orca	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	stomach sample	GEONAMES:6173336	NE Vancouver Island, British Columbia 			1990	Ford J. K. Ellis G. M. Barrett-Lennard L. G. Morton A. B. Palm R. S. and Balcomb III K. C. (1998). Dietary specialization in two sympatric populations of killer whales (Orcinus orca) in coastal British Columbia and adjacent waters. Canadian Journal of Zoology 76(8) 1456-1471.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample 	GEONAMES:5332921	Monterey Bay (Elkhorn Slough), California			1991	Oxman D. S. (1995). SEASONAL ABUNDANCE MOVEMENTS AND FOOD HABITS OF HARBOR SEALS (PHOCA VITULINA RICHARDS) (Doctoral dissertation California State University Stanislaus).	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
